Permutation,Q2_Scrambled
521,-0.027709814608483763
522,-0.03187501879878685
523,0.010461944899752496
524,-0.12210146159062285
525,-0.09282239433721107
526,-0.045426851382461386
527,-0.12378410576546295
528,-0.02850441081299504
529,-0.03377764884484624
530,-0.14943914818118587
531,-0.1028026707286549
532,-0.21485894512356607
533,-0.0736717361573862
534,-0.16056055916328726
535,-0.035446197818699954
536,-0.3628852399954803
537,-0.21421249850168445
538,-0.23650548890991718
539,-0.026619916043563396
540,-0.08863763422906312
541,-0.12403821895184675
542,-0.16902188510241323
543,-0.11836440207813426
544,-0.13479882235496432
545,-0.13648646425112276
546,-0.07786776593716538
547,0.016078902435188613
548,-0.03654468141673428
549,-0.09290773076953918
550,-0.03126604921023568
551,0.04112174272031133
552,-0.042691715102002536
553,-0.07138306951467532
554,-0.038123576486711386
555,-0.04946124534692942
556,-0.2026674146083014
557,-0.10739934964543552
558,-0.05046855271964157
559,-0.06756536936954705
560,-0.4009005124448439
561,0.019878070753325816
562,-0.06557883014258503
563,-0.04448693894867772
564,-0.05233500565031557
565,-0.15525413168067503
566,-0.40337251957912956
567,-0.11302976324213398
568,0.04142711969478752
569,-0.06218707979594629
570,-0.1540965244519088
571,-0.16856098445862666
572,-0.10194816673323004
573,-0.08146387212293238
574,-0.06716200086835511
575,-0.20611877025093173
576,-0.2256401335709186
577,-0.08066099411844951
578,-0.13292514914533626
579,-0.22725004378233415
580,-0.15321316948675334
581,-0.055601866035389635
582,-0.012144231545654804
583,-0.03096028966909814
584,-0.014288813258223954
585,-0.07160398309953964
586,-0.06392867906745603
587,0.007105433905126746
588,0.02384213189352513
589,-0.08292021595003862
590,-0.1290998011605622
591,-0.05195819636908716
592,-0.08586330088756422
593,-0.12898118668061698
594,-0.09342340641226499
595,-0.06094226755684051
596,-0.0116949201925316
597,-0.14485789697373908
598,-0.0436596688399149
599,-0.15022880800304672
600,-0.043946179226624915
601,-0.043402957362758565
602,-0.10312141668751185
603,-0.09746180303308316
604,-0.0009368318164308942
605,-0.048244749368310025
606,-0.43599070203233503
607,-0.0918532360053883
608,-0.0614500049360287
609,-0.4000152088051965
610,-0.2695267903742684
611,-0.16258192936296334
612,-0.04784521938889075
613,0.029462116526104087
614,-0.08651888639153804
615,0.05892221339978476
616,-0.1039957479885456
617,-0.18959038043501764
618,-0.024197014140640682
619,-0.14711470843819585
620,-0.04111263502663287
621,-0.040351812625899486
622,-0.018944869770964212
623,-0.026699101930561797
624,-0.07753405872584396
625,-0.18618213661231997
626,-0.12896621351499893
627,-0.12007127231598558
628,-0.0784606178199283
629,-0.19465354060517748
630,-0.12879735490451472
631,-0.12901330207626405
632,-0.3014678021065531
633,-0.24479008533174795
634,-0.24755829828781595
635,-0.3036274680503124
636,-0.1608456042913422
637,-0.04060045190445449
638,-0.15530635662542314
639,-0.4536666876380029
640,-0.14265744047125595
641,-0.06879785849869524
642,-0.12591405050547988
643,-0.04770760203828206
644,-0.42809906856563673
645,-0.1824334187295853
646,-0.1376947409513991
647,-0.0858465739212193
648,-0.243220120653876
649,-0.05267624760813483
650,-0.10193972592454847
651,-0.09950573219439995
652,-0.1876921695749345
653,-0.10336769312647776
654,-0.010893662596776599
655,-0.14093306984272647
656,-0.049862943351418165
657,-0.031677930981238056
658,-0.027989656845624822
659,-0.13488335210799196
660,-0.10570847957822505
661,-0.19607475546596498
662,-0.030082259931931032
663,-0.09584193412246478
664,-0.07608111230986148
665,-0.13506440652716822
666,-0.02270139584906583
667,-0.1088069014830757
668,-0.1016597084830213
669,-0.23913843744687835
670,-0.01689032122465428
671,0.014229558481028803
672,-0.09395297177889916
673,-0.23054938179541296
674,-0.007665069423615778
675,-0.09250260139512023
676,-0.06828264677162688
677,-0.03502905883129581
678,-0.14408182527832936
679,-0.03022369340644726
680,-0.04972542462096885
681,-0.13219436353252534
682,-0.0659174485570817
683,-0.07905022044722854
684,0.06825452266150278
685,-0.03908169971004627
686,-0.2602673982319439
687,-0.026608966721303418
688,0.018279335821015708
689,-0.07025773862951934
690,-0.2966768505774864
691,-0.019281629557648783
692,-0.19486975643663484
693,-0.101515599170523
694,-0.13756408473848114
695,-0.16728971173008467
696,-0.19795754257335396
697,-0.23936780037426075
698,-0.14951467470280644
699,-0.15116576620992883
700,-0.06871034200752768
701,-0.3911184130517862
702,-0.048319979965340876
703,-0.06638042708973835
704,-0.05371592070471998
705,-0.07925298552628957
706,-0.022250494918798047
707,-0.1947613525067442
708,-0.02738715524487456
709,-0.03723545985307908
710,-0.1247311828511748
711,0.119225591492095
712,-0.01833612929282613
713,-0.38592614482015786
714,-0.2474895703385196
715,-0.01687809945878138
716,-0.2169636037680749
717,-0.1490489614435977
718,-0.09210764232918578
719,-0.1408016075005043
720,-0.13331562091632732
721,-0.04394121121912087
722,-0.032821991402516515
723,-0.06880511174457049
724,-0.047174022824405304
725,-0.09047972917695613
726,-0.013283360644853914
727,-0.16055048191350996
728,-0.19357916009507226
729,-0.16150180172869932
730,-0.17148911910071107
731,-0.1473223374536754
732,-0.19193284456649007
733,-0.35588148222391713
734,-0.28961200810761056
735,-0.15925425580977937
736,-0.0500583177119045
737,-0.3851902541000478
738,-0.03338847959029789
